id,name,x,y,z
145,mL1_H-30,1121,1697,-187.0
146,mL1_H-31,1768,2394,-187.0
147,mL1_H-32,1494,2256,-187.0
148,mL1_H-33,1463,2224,-187.0
149,mL1_H-34,1397,2141,-187.0
150,mL1_H-35,1293,2062,-187.0
151,mL1_H-36,1273,2028,-187.0
152,mL1_H-37,1231,1975,-187.0
153,mL1_H-38,1165,1832,-187.0
154,mL1_H-39,1154,1795,-187.0
155,mL1_H-4,1587,863,-187.0
156,mL1_H-40,1396,2106,-187.0
157,mL1_H-41,1310,2040,-187.0
158,mL1_H-42,1150,1700,-187.0
159,mL1_H-43,3030,1779,-187.0
160,mL1_H-44,2424,2383,-187.0
161,mL1_H-45,2635,2282,-187.0
162,mL1_H-46,2822,2098,-187.0
163,mL1_H-47,2859,2046,-187.0
164,mL1_H-48,2982,1873,-187.0
165,mL1_H-49,2077,2213,-187.0
166,mL1_H-5,1518,861,-187.0
167,mL1_H-50,2075,2086,-187.0
168,mL1_H-51,2136,2052,-187.0
169,mL1_H-52,2222,2095,-187.0
170,mL1_H-53,2148,2260,-187.0
171,mL1_H-54,2658,2230,-187.0
172,mL1_H-56,2545,2157,-187.0
173,mL1_H-57,2431,2122,-187.0
174,mL1_H-58,2333,2067,-187.0
175,mL1_H-59,2021,2256,-187.0
176,mL1_H-6,1545,822,-187.0
177,mL1_H-60,2026,2054,-187.0
178,mL1_H-61,1936,2082,-187.0
179,mL1_H-62,1825,2076,-187.0
180,mL1_H-63,1745,2105,-187.0
181,mL1_H-64,1671,2142,-187.0
182,mL1_H-65,1614,2129,-187.0
183,mL1_H-66,1465,2143,-187.0
184,mL1_H-67,2617,2125,-187.0
185,mL1_H-68,2710,2149,-187.0
186,mL1_H-69,2542,2125,-187.0
187,mL1_H-7,2421,799,-187.0
188,mL1_H-70,1933,1776,-187.0
189,mL1_H-71,2047,1673,-187.0
190,mL1_H-72,2132,1687,-187.0
191,mL1_H-73,2194,1730,-187.0
192,mL1_H-74,2216,1779,-187.0
193,mL1_H-75,2221,1992,-187.0
194,mL1_H-76,1913,1813,-187.0
195,mL1_H-77,1852,2038,-187.0
196,mL1_H-78,1702,2063,-187.0
197,mL1_H-8,2716,895,-187.0
198,mL1_H-80,1769,1969,-187.0
199,mL1_H-81,2338,1979,-187.0
200,mL1_H-82,2445,2083,-187.0
201,mL1_H-83,1679,2101,-187.0
202,mL1_H-84,1565,2117,-187.0
203,mL1_H-85,1189,1469,-187.0
204,mL1_H-86,1238,1352,-187.0
205,mL1_H-87,1198,1382,-187.0
206,mL1_H-88,1246,1289,-187.0
207,mL1_H-89,1525,913,-187.0
208,mL1_H-9,2709,849,-187.0
209,mL1_H-90,1447,1022,-187.0
210,mL1_H-91,2932,1342,-187.0
211,mL1_H-92,2950,1280,-187.0
212,mL1_H-93,2980,1396,-187.0
213,mL1_H-94,3002,1687,-187.0
214,mL1_H-95,3001,1790,-187.0
215,mL1_H-96,2857,2017,-187.0
216,mL1_H-97,2749,2125,-187.0
217,mL1_H-98,1472,900,-187.0
218,mL1_H-99,1178,1437,-187.0
219,mL1_L-1,2129,702,-194.0
220,mL1_L-10,2712,854,-194.0
221,mL1_L-100,1389,1136,-194.0
222,mL1_L-101,1344,1210,-194.0
223,mL1_L-102,1269,1309,-194.0
224,mL1_L-103,1247,1345,-194.0
225,mL1_L-104,1544,2094,-194.0
226,mL1_L-105,1372,2076,-194.0
227,mL1_L-106,1174,1765,-194.0
228,mL1_L-107,1159,1725,-194.0
229,mL1_L-108,1157,1662,-194.0
230,mL1_L-109,1166,1599,-194.0
231,mL1_L-11,1089,1637,-194.0
232,mL1_L-110,1191,1423,-194.0
233,mL1_L-111,1299,1241,-194.0
234,mL1_L-112,1346,1110,-194.0
235,mL1_L-113,1289,1215,-194.0
236,mL1_L-114,1471,2202,-194.0
237,mL1_L-115,2711,2139,-194.0
238,mL1_L-116,1526,923,-194.0
239,mL1_L-117,1468,982,-194.0
240,mL1_L-118,1441,952,-194.0
241,mL1_L-119,1503,912,-194.0
242,mL1_L-12,1128,1662,-194.0
243,mL1_L-120,1394,1015,-194.0
244,mL1_L-121,1345,1074,-194.0
245,mL1_L-13,1137,1638,-194.0
246,mL1_L-14,1187,1324,-194.0
247,mL1_L-15,1225,1231,-194.0
248,mL1_L-16,1240,1181,-194.0
249,mL1_L-17,1301,1060,-194.0
250,mL1_L-18,1398,968,-194.0
251,mL1_L-19,2826,999,-194.0
252,mL1_L-2,2087,2313,-194.0
253,mL1_L-20,2901,1053,-194.0
254,mL1_L-21,2896,1085,-194.0
255,mL1_L-22,2939,1095,-194.0
256,mL1_L-23,2977,1245,-194.0
257,mL1_L-24,2992,1325,-194.0
258,mL1_L-25,3034,1638,-194.0
