id,name,x,y,z,x1,y1,z1,x2,y2,z2
108,mL1-L2-74,-411.0851631,90.56678212,-201,628,2856,201,2073,2856,201
109,mL1-L2-75,-181.2107832,196.2265307,-201,1362,1259,201,1339,1259,201
110,mL1-L2-76,-173.4795821,190.2133743,-201,1320,1206,201,1381,1206,201
111,mL1-L2-77,-200.2810793,87.47430168,-201,606,1392,201,2095,1392,201
112,mL1-L2-78,-427.7501966,185.0592402,-201,1284,2971,201,1417,2971,201
113,mL1-L2-79,-419.6753866,199.3190112,-201,1383,2915,201,1318,2915,201
114,mL1-L2-8,-384.9708838,260.8250112,-201,1810,2674,201,891,2674,201
115,mL1-L2-80,-423.2832804,193.6494637,-201,1344,2940,201,1357,2940,201
116,mL1-L2-81,-413.8340346,98.12617877,-201,680,2875,201,2021,2875,201
117,mL1-L2-9,-354.0460793,272.5077151,-201,1891,2460,201,810,2460,201
118,mL1_H-1,-306.1067868,288.0514507,-187,1999,2127,187,702,2127,187
119,mL1_H-10,-156.6831731,151.2160408,-187,1049,1089,187,1652,1089,187
120,mL1_H-100,-166.6556462,149.417726,-187,1037,1158,187,1664,1158,187
121,mL1_H-101,-171.0696917,122.4430036,-187,849,1189,187,1852,1189,187
122,mL1_H-102,-429.5365771,180.6430107,-187,1253,2984,187,1448,2984,187
123,mL1_H-103,-425.7764643,121.2986214,-187,841,2958,187,1860,2958,187
124,mL1_H-11,-162.8955334,151.379524,-187,1050,1132,187,1651,1132,187
125,mL1_H-12,-168.453961,193.0677313,-187,1340,1171,187,1361,1171,187
126,mL1_H-13,-174.0123887,206.4733509,-187,1433,1209,187,1268,1209,187
127,mL1_H-14,-178.5899173,225.4373982,-187,1565,1241,187,1136,1241,187
128,mL1_H-15,-222.7303721,263.2020095,-187,1827,1548,187,874,1548,187
129,mL1_H-16,-440.9803987,145.3306468,-187,1008,3063,187,1693,3063,187
130,mL1_H-17,-435.2584879,149.2542428,-187,1035,3024,187,1666,3024,187
131,mL1_H-18,-433.2966899,193.2312145,-187,1341,3010,187,1360,3010,187
132,mL1_H-19,-431.0079256,206.1463846,-187,1431,2994,187,1270,2994,187
133,mL1_H-2,-299.0770106,57.86715304,-187,401,2078,187,2300,2078,187
134,mL1_H-20,-424.3051158,229.0340278,-187,1590,2948,187,1111,2948,187
135,mL1_H-21,-411.5534288,246.6902097,-187,1712,2859,187,989,2859,187
136,mL1_H-22,-406.9759002,249.6329067,-187,1733,2827,187,968,2827,187
137,mL1_H-23,-400.6000567,252.7390869,-187,1754,2783,187,947,2783,187
138,mL1_H-24,-398.8017419,249.3059404,-187,1730,2770,187,971,2770,187
139,mL1_H-25,-403.86972,246.5267266,-187,1711,2806,187,990,2806,187
140,mL1_H-26,-408.9376982,239.0065009,-187,1659,2841,187,1042,2841,187
141,mL1_H-27,-414.0056763,230.9958258,-187,1603,2876,187,1098,2876,187
142,mL1_H-28,-419.8910703,224.7834655,-187,1560,2917,187,1141,2917,187
143,mL1_H-29,-186.9275588,224.293016,-187,1557,1299,187,1144,1299,187
144,mL1_H-3,-265.3994784,274.3188648,-187,1904,1844,187,797,1844,187
145,mL1_H-30,-161.2607017,144.6767142,-187,1004,1121,187,1697,1121,187
146,mL1_H-31,-254.4461063,44.29805027,-187,307,1768,187,2394,1768,187
147,mL1_H-32,-215.0466633,64.24299652,-187,445,1494,187,2256,1494,187
148,mL1_H-33,-210.4691347,68.82052516,-187,477,1463,187,2224,1463,187
149,mL1_H-34,-200.987111,80.75479628,-187,560,1397,187,2141,1397,187
150,mL1_H-35,-186.1101429,92.1986179,-187,639,1293,187,2062,1293,187
151,mL1_H-36,-183.167446,97.10311288,-187,673,1273,187,2028,1273,187
152,mL1_H-37,-177.1185688,104.6233385,-187,726,1231,187,1975,1231,187
153,mL1_H-38,-167.6365452,125.2222174,-187,869,1165,187,1832,1165,187
154,mL1_H-39,-166.0017135,130.6171619,-187,906,1154,187,1795,1154,187
155,mL1_H-4,-228.4522829,264.8368412,-187,1838,1587,187,863,1587,187
156,mL1_H-40,-200.8236279,85.82277442,-187,595,1396,187,2106,1396,187
157,mL1_H-41,-188.5623904,95.30479805,-187,661,1310,187,2040,1310,187
158,mL1_H-42,-165.511264,144.3497478,-187,1001,1150,187,1700,1150,187
159,mL1_H-43,-436.2393869,132.9059262,-187,922,3030,187,1779,3030,187
160,mL1_H-44,-348.9393763,45.93288193,-187,318,2424,187,2383,2424,187
161,mL1_H-45,-379.3472451,60.4828837,-187,419,2635,187,2282,2635,187
162,mL1_H-46,-406.1584843,86.96715659,-187,603,2822,187,2098,2822,187
163,mL1_H-47,-411.5534288,94.48738222,-187,655,2859,187,2046,2859,187
164,mL1_H-48,-429.2096108,119.3368234,-187,828,2982,187,1873,2982,187
165,mL1_H-49,-298.9135275,70.45535682,-187,488,2077,187,2213,2077,187
166,mL1_H-5,-218.4798098,265.1638075,-187,1840,1518,187,861,1518,187
167,mL1_H-50,-298.5865611,88.76547141,-187,615,2075,187,2086,2075,187
168,mL1_H-51,-307.4146521,93.66996639,-187,649,2136,187,2052,2136,187
169,mL1_H-52,-319.8393727,87.45760608,-187,606,2222,187,2095,2222,187
170,mL1_H-53,-309.2129669,63.58906385,-187,441,2148,187,2260,2148,187
171,mL1_H-54,-382.6169084,68.00310933,-187,471,2658,187,2230,2658,187
172,mL1_H-56,-366.2685918,78.46603196,-187,544,2545,187,2157,2545,187
173,mL1_H-57,-349.9202753,83.5340101,-187,579,2431,187,2122,2431,187
174,mL1_H-58,-335.860723,91.38120207,-187,634,2333,187,2067,2333,187
175,mL1_H-59,-290.9028523,64.24299652,-187,445,2021,187,2256,2021,187
176,mL1_H-6,-222.4034058,270.7222351,-187,1879,1545,187,822,1545,187
177,mL1_H-60,-291.556785,93.34300006,-187,647,2026,187,2054,2026,187
178,mL1_H-61,-278.6416149,89.25592091,-187,619,1936,187,2082,1936,187
179,mL1_H-62,-262.6202646,90.07333674,-187,625,1825,187,2076,1825,187
180,mL1_H-63,-251.176443,85.98625759,-187,596,1745,187,2105,1745,187
181,mL1_H-64,-240.5500372,80.59131311,-187,559,1671,187,2142,1671,187
182,mL1_H-65,-232.2123957,82.5531111,-187,572,1614,187,2129,1614,187
183,mL1_H-66,-210.796101,80.42782995,-187,558,1465,187,2143,1465,187
184,mL1_H-67,-376.7315145,83.0435606,-187,576,2617,187,2125,2617,187
185,mL1_H-68,-390.1371341,79.61041412,-187,552,2710,187,2149,2710,187
186,mL1_H-69,-365.9416255,83.0435606,-187,576,2542,187,2125,2542,187
187,mL1_H-7,-348.4489268,273.9918985,-187,1902,2421,187,799,2421,187
188,mL1_H-70,-278.1511654,133.3963757,-187,925,1933,187,1776,1933,187
189,mL1_H-71,-294.6629652,148.1098607,-187,1028,2047,187,1673,2047,187
190,mL1_H-72,-306.9242026,146.1480627,-187,1014,2132,187,1687,2132,187
191,mL1_H-73,-315.7522936,139.9357024,-187,971,2194,187,1730,2194,187
192,mL1_H-74,-319.0219569,132.9059262,-187,922,2216,187,1779,2216,187
193,mL1_H-75,-319.6758895,102.171091,-187,709,2221,187,1992,2221,187
194,mL1_H-76,-275.3719516,128.0014312,-187,888,1913,187,1813,1913,187
195,mL1_H-77,-266.5438606,95.63176438,-187,663,1852,187,2038,1852,187
196,mL1_H-78,-244.9640827,92.03513473,-187,638,1702,187,2063,1702,187
