id,name,x,y,z
1,F_9-10,1983,1115,-291.0
2,F_L4_H_9-8,2449,825,-291.0
3,L4_H_F_9-1,2089,1942,-291.0
4,L4_H_F_9-11,2249,1132,-291.0
5,L4_H_F_9-12,2345,891,-291.0
6,L4_H_F_9-13,2777,813,-291.0
7,L4_H_F_9-14,2728,731,-291.0
8,L4_H_F_9-15,2630,682,-291.0
9,L4_H_F_9-16,2588,550,-291.0
10,L4_H_F_9-17,1616,587,-291.0
11,L4_H_F_9-18,1581,720,-291.0
12,L4_H_F_9-19,1488,780,-291.0
13,L4_H_F_9-2,2105,573,-291.0
14,L4_H_F_9-20,1460,821,-291.0
15,L4_H_F_9-21,1463,873,-291.0
16,L4_H_F_9-22,2778,771,-291.0
17,L4_H_F_9-23,2843,766,-291.0
18,L4_H_F_9-24,1393,808,-291.0
19,L4_H_F_9-25,1514,1697,-291.0
20,L4_H_F_9-26,1428,1656,-291.0
21,L4_H_F_9-27,1474,1622,-291.0
22,L4_H_F_9-28,2548,1846,-291.0
23,L4_H_F_9-29,2178,1912,-291.0
24,L4_H_F_9-3,2120,678,-291.0
25,L4_H_F_9-30,1943,1875,-291.0
26,L4_H_F_9-31,2649,1706,-291.0
27,L4_H_F_9-32,2509,904,-291.0
28,L4_H_F_9-33,1671,929,-291.0
29,L4_H_F_9-34,1639,737,-291.0
30,L4_H_F_9-35,2540,718,-291.0
31,L4_H_F_9-36,2767,1678,-291.0
32,L4_H_F_9-37,1571,1781,-291.0
33,L4_H_F_9-4,2070,804,-291.0
34,L4_H_F_9-5,2151,808,-291.0
35,L4_H_F_9-6,1945,744,-291.0
36,L4_H_F_9-7,2262,727,-291.0
37,L4_H_F_9-9,1790,888,-291.0
38,mL1-L2-1,2121,2004,-201.0
39,mL1-L2-10,1245,1442,-201.0
40,mL1-L2-11,1447,1729,-201.0
41,mL1-L2-12,1471,1702,-201.0
42,mL1-L2-13,1271,1414,-201.0
43,mL1-L2-14,1138,1106,-201.0
44,mL1-L2-15,1163,1105,-201.0
45,mL1-L2-16,1159,1029,-201.0
46,mL1-L2-17,1139,1011,-201.0
47,mL1-L2-18,1250,716,-201.0
48,mL1-L2-19,1271,733,-201.0
49,mL1-L2-2,2086,437,-201.0
50,mL1-L2-20,1341,659,-201.0
51,mL1-L2-21,1327,647,-201.0
52,mL1-L2-22,1282,673,-201.0
53,mL1-L2-23,1548,584,-201.0
54,mL1-L2-24,1622,597,-201.0
55,mL1-L2-26,1628,560,-201.0
56,mL1-L2-27,1571,559,-201.0
57,mL1-L2-28,2073,481,-201.0
58,mL1-L2-29,2115,479,-201.0
59,mL1-L2-3,1543,1875,-201.0
60,mL1-L2-30,1951,677,-201.0
61,mL1-L2-31,1932,799,-201.0
62,mL1-L2-32,1912,931,-201.0
63,mL1-L2-33,1936,987,-201.0
64,mL1-L2-34,2058,1056,-201.0
65,mL1-L2-35,2154,1044,-201.0
66,mL1-L2-36,2188,1024,-201.0
67,mL1-L2-37,2233,987,-201.0
68,mL1-L2-38,2233,793,-201.0
69,mL1-L2-39,2209,678,-201.0
70,mL1-L2-4,1518,1825,-201.0
71,mL1-L2-40,2157,456,-201.0
72,mL1-L2-41,2011,455,-201.0
73,mL1-L2-42,2431,296,-201.0
74,mL1-L2-43,1746,312,-201.0
75,mL1-L2-44,2614,558,-201.0
76,mL1-L2-45,2625,585,-201.0
77,mL1-L2-46,2557,592,-201.0
78,mL1-L2-47,2544,577,-201.0
79,mL1-L2-48,2307,729,-201.0
80,mL1-L2-49,2365,772,-201.0
81,mL1-L2-5,1572,1817,-201.0
82,mL1-L2-50,1488,484,-201.0
83,mL1-L2-51,1535,414,-201.0
84,mL1-L2-52,1710,739,-201.0
85,mL1-L2-53,1873,725,-201.0
86,mL1-L2-54,2821,671,-201.0
87,mL1-L2-55,2844,658,-201.0
88,mL1-L2-56,2917,739,-201.0
89,mL1-L2-57,2889,745,-201.0
90,mL1-L2-58,3001,1029,-201.0
91,mL1-L2-59,3037,1030,-201.0
92,mL1-L2-6,1790,1883,-201.0
93,mL1-L2-60,3030,1114,-201.0
94,mL1-L2-61,2992,1122,-201.0
95,mL1-L2-62,2960,1449,-201.0
96,mL1-L2-63,2923,1434,-201.0
97,mL1-L2-64,2883,1643,-201.0
98,mL1-L2-65,2859,1592,-201.0
99,mL1-L2-66,1077,941,-201.0
100,mL1-L2-67,1193,754,-201.0
101,mL1-L2-68,1222,772,-201.0
102,mL1-L2-69,3037,858,-201.0
103,mL1-L2-7,2719,1828,-201.0
104,mL1-L2-70,2950,756,-201.0
105,mL1-L2-71,2932,775,-201.0
106,mL1-L2-72,1348,567,-201.0
107,mL1-L2-73,2716,493,-201.0
108,mL1-L2-74,2856,628,-201.0
109,mL1-L2-75,1259,1362,-201.0
110,mL1-L2-76,1206,1320,-201.0
111,mL1-L2-77,1392,606,-201.0
112,mL1-L2-78,2971,1284,-201.0
113,mL1-L2-79,2915,1383,-201.0
114,mL1-L2-8,2674,1810,-201.0
115,mL1-L2-80,2940,1344,-201.0
116,mL1-L2-81,2875,680,-201.0
117,mL1-L2-9,2460,1891,-201.0
118,mL1_H-1,2127,1999,-187.0
119,mL1_H-10,1089,1049,-187.0
120,mL1_H-100,1158,1037,-187.0
121,mL1_H-101,1189,849,-187.0
122,mL1_H-102,2984,1253,-187.0
123,mL1_H-103,2958,841,-187.0
124,mL1_H-11,1132,1050,-187.0
125,mL1_H-12,1171,1340,-187.0
126,mL1_H-13,1209,1433,-187.0
127,mL1_H-14,1241,1565,-187.0
128,mL1_H-15,1548,1827,-187.0
129,mL1_H-16,3063,1008,-187.0
130,mL1_H-17,3024,1035,-187.0
131,mL1_H-18,3010,1341,-187.0
132,mL1_H-19,2994,1431,-187.0
133,mL1_H-2,2078,401,-187.0
134,mL1_H-20,2948,1590,-187.0
135,mL1_H-21,2859,1712,-187.0
136,mL1_H-22,2827,1733,-187.0
137,mL1_H-23,2783,1754,-187.0
138,mL1_H-24,2770,1730,-187.0
139,mL1_H-25,2806,1711,-187.0
140,mL1_H-26,2841,1659,-187.0
141,mL1_H-27,2876,1603,-187.0
142,mL1_H-28,2917,1560,-187.0
143,mL1_H-29,1299,1557,-187.0
144,mL1_H-3,1844,1904,-187.0
145,mL1_H-30,1121,1004,-187.0
146,mL1_H-31,1768,307,-187.0
147,mL1_H-32,1494,445,-187.0
148,mL1_H-33,1463,477,-187.0
149,mL1_H-34,1397,560,-187.0
150,mL1_H-35,1293,639,-187.0
151,mL1_H-36,1273,673,-187.0
152,mL1_H-37,1231,726,-187.0
153,mL1_H-38,1165,869,-187.0
154,mL1_H-39,1154,906,-187.0
155,mL1_H-4,1587,1838,-187.0
156,mL1_H-40,1396,595,-187.0
157,mL1_H-41,1310,661,-187.0
158,mL1_H-42,1150,1001,-187.0
159,mL1_H-43,3030,922,-187.0
160,mL1_H-44,2424,318,-187.0
161,mL1_H-45,2635,419,-187.0
162,mL1_H-46,2822,603,-187.0
163,mL1_H-47,2859,655,-187.0
164,mL1_H-48,2982,828,-187.0
165,mL1_H-49,2077,488,-187.0
166,mL1_H-5,1518,1840,-187.0
167,mL1_H-50,2075,615,-187.0
168,mL1_H-51,2136,649,-187.0
169,mL1_H-52,2222,606,-187.0
170,mL1_H-53,2148,441,-187.0
171,mL1_H-54,2658,471,-187.0
172,mL1_H-56,2545,544,-187.0
173,mL1_H-57,2431,579,-187.0
174,mL1_H-58,2333,634,-187.0
175,mL1_H-59,2021,445,-187.0
176,mL1_H-6,1545,1879,-187.0
177,mL1_H-60,2026,647,-187.0
178,mL1_H-61,1936,619,-187.0
179,mL1_H-62,1825,625,-187.0
180,mL1_H-63,1745,596,-187.0
181,mL1_H-64,1671,559,-187.0
182,mL1_H-65,1614,572,-187.0
183,mL1_H-66,1465,558,-187.0
184,mL1_H-67,2617,576,-187.0
185,mL1_H-68,2710,552,-187.0
186,mL1_H-69,2542,576,-187.0
187,mL1_H-7,2421,1902,-187.0
188,mL1_H-70,1933,925,-187.0
189,mL1_H-71,2047,1028,-187.0
190,mL1_H-72,2132,1014,-187.0
191,mL1_H-73,2194,971,-187.0
192,mL1_H-74,2216,922,-187.0
193,mL1_H-75,2221,709,-187.0
194,mL1_H-76,1913,888,-187.0
195,mL1_H-77,1852,663,-187.0
196,mL1_H-78,1702,638,-187.0
197,mL1_H-8,2716,1806,-187.0
198,mL1_H-80,1769,732,-187.0
199,mL1_H-81,2338,722,-187.0
200,mL1_H-82,2445,618,-187.0
201,mL1_H-83,1679,600,-187.0
202,mL1_H-84,1565,584,-187.0
203,mL1_H-85,1189,1232,-187.0
204,mL1_H-86,1238,1349,-187.0
205,mL1_H-87,1198,1319,-187.0
206,mL1_H-88,1246,1412,-187.0
207,mL1_H-89,1525,1788,-187.0
208,mL1_H-9,2709,1852,-187.0
209,mL1_H-90,1447,1679,-187.0
210,mL1_H-91,2932,1359,-187.0
211,mL1_H-92,2950,1421,-187.0
212,mL1_H-93,2980,1305,-187.0
213,mL1_H-94,3002,1014,-187.0
214,mL1_H-95,3001,911,-187.0
215,mL1_H-96,2857,684,-187.0
216,mL1_H-97,2749,576,-187.0
217,mL1_H-98,1472,1801,-187.0
218,mL1_H-99,1178,1264,-187.0
219,mL1_L-1,2129,1999,-194.0
220,mL1_L-10,2712,1847,-194.0
221,mL1_L-100,1389,1565,-194.0
222,mL1_L-101,1344,1491,-194.0
223,mL1_L-102,1269,1392,-194.0
224,mL1_L-103,1247,1356,-194.0
225,mL1_L-104,1544,607,-194.0
226,mL1_L-105,1372,625,-194.0
227,mL1_L-106,1174,936,-194.0
228,mL1_L-107,1159,976,-194.0
229,mL1_L-108,1157,1039,-194.0
230,mL1_L-109,1166,1102,-194.0
231,mL1_L-11,1089,1064,-194.0
232,mL1_L-110,1191,1278,-194.0
233,mL1_L-111,1299,1460,-194.0
234,mL1_L-112,1346,1591,-194.0
235,mL1_L-113,1289,1486,-194.0
236,mL1_L-114,1471,499,-194.0
237,mL1_L-115,2711,562,-194.0
238,mL1_L-116,1526,1778,-194.0
239,mL1_L-117,1468,1719,-194.0
240,mL1_L-118,1441,1749,-194.0
241,mL1_L-119,1503,1789,-194.0
242,mL1_L-12,1128,1039,-194.0
243,mL1_L-120,1394,1686,-194.0
244,mL1_L-121,1345,1627,-194.0
245,mL1_L-13,1137,1063,-194.0
246,mL1_L-14,1187,1377,-194.0
247,mL1_L-15,1225,1470,-194.0
248,mL1_L-16,1240,1520,-194.0
249,mL1_L-17,1301,1641,-194.0
250,mL1_L-18,1398,1733,-194.0
251,mL1_L-19,2826,1702,-194.0
252,mL1_L-2,2087,388,-194.0
253,mL1_L-20,2901,1648,-194.0
254,mL1_L-21,2896,1616,-194.0
255,mL1_L-22,2939,1606,-194.0
256,mL1_L-23,2977,1456,-194.0
257,mL1_L-24,2992,1376,-194.0
258,mL1_L-25,3034,1063,-194.0
259,mL1_L-26,3043,1039,-194.0
260,mL1_L-27,3085,1039,-194.0
261,mL1_L-28,1807,317,-194.0
262,mL1_L-29,1549,398,-194.0
